TrisCalDate,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp
20240520,10,20240522,TD,22:20,22:50,-18,20,30,7.4,20
20240520,11,20240522,TD,22:20,22:50,-9.1,16.2,30,7.2,16
20240520,12,20240522,TD,22:20,22:50,-38.1,20,30,7.7,16
20240520,13,20240522,TD,22:20,22:50,-45.7,16.4,30,7.9,16
20240520,14,20240522,TD,22:20,22:50,-55.2,19.8,30,8,20
20240520,15,20240522,TD,22:20,22:50,-17.5,19.8,30,7.3,20
20240520,17,20240522,TD,22:20,22:50,-52.6,15.7,30,8,16
20240520,18,20240522,TD,22:20,22:50,-40.9,15.7,30,7.8,16
20240520,19,20240522,TD,22:20,22:50,-35.5,15.5,30,7.6,16
20240523,1,20240523,TD,17:35,18:05,-18.7,16.047,30,7.4,16
20240523,2,20240523,TD,17:35,18:05,-26.3,15.913,30,7.5,16
20240523,3,20240523,TD,17:35,18:05,-6.5,20.489,30,7.2,20
20240523,4,20240523,TD,17:35,18:05,-30.1,20.241,30,7.6,20
20240523,5,20240523,TD,17:35,18:05,-16.8,16.27,30,7.3,16
20240523,6,20240523,TD,17:35,18:05,-32.8,16.096,30,7.7,20
20240523,7,20240523,TD,17:35,18:05,-40.8,20.361,30,7.9,20
20240523,8,20240523,TD,17:35,18:05,-41.2,20.17,30,7.8,20
20240523,9,20240523,TD,17:35,18:05,-23.2,19.838,30,7.5,20
20240523,10,20240523,TD,17:35,18:05,-17.6,20.1,30,7.4,20
20240523,11,20240523,TD,17:35,18:05,-1.4,16.194,30,7.2,16
20240523,12,20240523,TD,17:35,18:05,-37.2,20.01,30,7.7,16
20240523,13,20240523,TD,17:35,18:05,-39.1,16.387,30,7.9,16
20240523,14,20240523,TD,17:35,18:05,-56,20.145,30,8,20
20240523,15,20240523,TD,17:35,18:05,-18.6,20.27,30,7.3,20
20240523,17,20240523,TD,17:35,18:05,-50.3,16.404,30,8,16
20240523,18,20240523,TD,17:35,18:05,-32.9,16.348,30,7.8,16
20240523,19,20240523,TD,17:35,18:05,-34.4,16.448,30,7.6,16
20240523,1,20240524,TD,8:00,8:30,-19.7,16.2,30,7.4,16
20240523,2,20240524,TD,8:00,8:30,-24.9,16,30,7.5,16
20240523,3,20240524,TD,8:00,8:30,-7.7,19.8,30,7.2,20
20240523,4,20240524,TD,8:00,8:30,-33.3,19.8,30,7.6,20
20240523,5,20240524,TD,8:00,8:30,-16.7,16.4,30,7.3,16
20240523,6,20240524,TD,8:00,8:30,-30.1,16.1,30,7.7,20
20240523,7,20240524,TD,8:00,8:30,-41.2,19.8,30,7.9,20
20240523,8,20240524,TD,8:00,8:30,-40.9,19.7,30,7.8,20
20240523,9,20240524,TD,8:00,8:30,-29.1,19.8,30,7.5,20
20240523,10,20240524,TD,8:00,8:30,-21.3,19,30,7.4,20
20240523,11,20240524,TD,8:00,8:30,0.2,15.8,30,7.2,16
20240523,12,20240524,TD,8:00,8:30,-38.2,19.1,30,7.7,16
20240523,13,20240524,TD,8:00,8:30,-38.9,16.4,30,7.9,16
20240523,14,20240524,TD,8:00,8:30,-56,19.8,30,8,20
20240523,15,20240524,TD,8:00,8:30,-17.3,19.6,30,7.3,20
20240523,17,20240524,TD,8:00,8:30,-51.9,16.2,30,8,16
20240523,18,20240524,TD,8:00,8:30,-33.4,15.9,30,7.8,16
20240523,19,20240524,TD,8:00,8:30,-31.9,16,30,7.6,16
